Numer of labeled samples:15783   AUC:0.971
Numer of labeled samples:15721   AUC:0.980
Numer of labeled samples:15782   AUC:0.990
Numer of labeled samples:15728   AUC:0.978
Numer of labeled samples:15771   AUC:0.982
Numer of labeled samples:15677   AUC:0.984
Numer of labeled samples:15766   AUC:0.971
Numer of labeled samples:15647   AUC:0.984
Numer of labeled samples:15664   AUC:0.980
Numer of labeled samples:15692   AUC:0.982
Numer of labeled samples:15745   AUC:0.971
Numer of labeled samples:15652   AUC:0.970
Numer of labeled samples:15698   AUC:0.975
Numer of labeled samples:15717   AUC:0.975
Numer of labeled samples:15685   AUC:0.977
Numer of labeled samples:15729   AUC:0.986
Numer of labeled samples:15782   AUC:0.979
Numer of labeled samples:15757   AUC:0.984
Numer of labeled samples:15844   AUC:0.988
Numer of labeled samples:15773   AUC:0.983
Numer of labeled samples:15787   AUC:0.976
Numer of labeled samples:15972   AUC:0.993
Numer of labeled samples:15052   AUC:0.994
Numer of labeled samples:15744   AUC:0.974
Numer of labeled samples:15835   AUC:0.989
Numer of labeled samples:15083   AUC:0.994
Numer of labeled samples:15399   AUC:0.994
Numer of labeled samples:15796   AUC:0.988
Numer of labeled samples:15781   AUC:0.973
Numer of labeled samples:15522   AUC:0.992
Numer of labeled samples:15606   AUC:0.995
Numer of labeled samples:15779   AUC:0.987
Numer of labeled samples:15797   AUC:0.988
Numer of labeled samples:15636   AUC:0.988
Numer of labeled samples:15716   AUC:0.988
Numer of labeled samples:15752   AUC:0.975
Numer of labeled samples:14797   AUC:0.995
Numer of labeled samples:15911   AUC:0.993
Numer of labeled samples:16303   AUC:0.994
Numer of labeled samples:14811   AUC:0.996
Numer of labeled samples:14941   AUC:0.993
Numer of labeled samples:14756   AUC:0.993
Numer of labeled samples:14851   AUC:0.995
Numer of labeled samples:15162   AUC:0.996
Numer of labeled samples:15266   AUC:0.995
Numer of labeled samples:14899   AUC:0.996
Numer of labeled samples:14975   AUC:0.995
Numer of labeled samples:15226   AUC:0.994
Numer of labeled samples:15236   AUC:0.996
Numer of labeled samples:14895   AUC:0.996
Numer of labeled samples:15284   AUC:0.996
Numer of labeled samples:15128   AUC:0.996
Numer of labeled samples:15266   AUC:0.987
Numer of labeled samples:15198   AUC:0.994
Numer of labeled samples:15230   AUC:0.995
Numer of labeled samples:15209   AUC:0.996
Numer of labeled samples:15183   AUC:0.996
Numer of labeled samples:15236   AUC:0.992
Numer of labeled samples:15395   AUC:0.995
Numer of labeled samples:15234   AUC:0.994
Numer of labeled samples:15157   AUC:0.993
Numer of labeled samples:15195   AUC:0.995
Numer of labeled samples:15201   AUC:0.993
Numer of labeled samples:15213   AUC:0.996
Numer of labeled samples:15198   AUC:0.995
Numer of labeled samples:15203   AUC:0.994
Numer of labeled samples:15243   AUC:0.992
Numer of labeled samples:15217   AUC:0.996
Numer of labeled samples:15265   AUC:0.996
Numer of labeled samples:15229   AUC:0.995
Numer of labeled samples:15213   AUC:0.995
Numer of labeled samples:15211   AUC:0.995
Numer of labeled samples:15254   AUC:0.996
Numer of labeled samples:15205   AUC:0.995
Numer of labeled samples:15205   AUC:0.993
Numer of labeled samples:15268   AUC:0.992
Numer of labeled samples:15282   AUC:0.991
Numer of labeled samples:15307   AUC:0.994
Numer of labeled samples:15220   AUC:0.994
Numer of labeled samples:15254   AUC:0.993
Numer of labeled samples:15158   AUC:0.995
Numer of labeled samples:15186   AUC:0.994
Numer of labeled samples:15195   AUC:0.995
Numer of labeled samples:15179   AUC:0.992
Numer of labeled samples:15261   AUC:0.993
Numer of labeled samples:15312   AUC:0.995
Numer of labeled samples:15252   AUC:0.996
Numer of labeled samples:15204   AUC:0.996
Numer of labeled samples:15213   AUC:0.997
Numer of labeled samples:15282   AUC:0.996
Numer of labeled samples:15296   AUC:0.996
Numer of labeled samples:15226   AUC:0.997
Numer of labeled samples:15313   AUC:0.994
Numer of labeled samples:15295   AUC:0.997
Numer of labeled samples:15302   AUC:0.997
Numer of labeled samples:15293   AUC:0.997
Numer of labeled samples:15287   AUC:0.996
Numer of labeled samples:15288   AUC:0.997
Numer of labeled samples:15301   AUC:0.997
Numer of labeled samples:15273   AUC:0.998
Numer of labeled samples:15292   AUC:0.997
Numer of labeled samples:15283   AUC:0.997
Numer of labeled samples:15312   AUC:0.997
Numer of labeled samples:15334   AUC:0.997
Numer of labeled samples:15321   AUC:0.997
Numer of labeled samples:15299   AUC:0.998
Numer of labeled samples:15319   AUC:0.998
Numer of labeled samples:15290   AUC:0.998
Numer of labeled samples:15281   AUC:0.996
Numer of labeled samples:15283   AUC:0.996
Numer of labeled samples:15322   AUC:0.996
Numer of labeled samples:15330   AUC:0.998
Numer of labeled samples:15313   AUC:0.995
Numer of labeled samples:15288   AUC:0.998
Numer of labeled samples:15287   AUC:0.998
Numer of labeled samples:15250   AUC:0.998
Numer of labeled samples:15319   AUC:0.997
Numer of labeled samples:15262   AUC:0.998
Numer of labeled samples:15292   AUC:0.997
Numer of labeled samples:15319   AUC:0.995
Numer of labeled samples:15289   AUC:0.998
Numer of labeled samples:15301   AUC:0.996
Numer of labeled samples:15323   AUC:0.996
Numer of labeled samples:15307   AUC:0.998
Numer of labeled samples:15307   AUC:0.996
Numer of labeled samples:15312   AUC:0.997
Numer of labeled samples:15308   AUC:0.997
Numer of labeled samples:15271   AUC:0.997
Numer of labeled samples:15316   AUC:0.996
Numer of labeled samples:15304   AUC:0.998
Numer of labeled samples:15313   AUC:0.998
Numer of labeled samples:15325   AUC:0.998
Numer of labeled samples:15300   AUC:0.997
Numer of labeled samples:15302   AUC:0.998
Numer of labeled samples:15290   AUC:0.998
Numer of labeled samples:15315   AUC:0.998
Numer of labeled samples:15326   AUC:0.996
Numer of labeled samples:15289   AUC:0.999
Numer of labeled samples:15285   AUC:0.998
Numer of labeled samples:15296   AUC:0.998
Numer of labeled samples:15334   AUC:0.998
Numer of labeled samples:15311   AUC:0.998
Numer of labeled samples:15290   AUC:0.998
Numer of labeled samples:15285   AUC:0.999
Numer of labeled samples:15329   AUC:0.997
Numer of labeled samples:15332   AUC:0.996
Numer of labeled samples:15320   AUC:0.998
Numer of labeled samples:15319   AUC:0.998
Numer of labeled samples:15319   AUC:0.996
Numer of labeled samples:15321   AUC:0.999
Numer of labeled samples:15287   AUC:0.997
Numer of labeled samples:15308   AUC:0.999
Numer of labeled samples:15271   AUC:0.998
Numer of labeled samples:15280   AUC:0.998
Numer of labeled samples:15309   AUC:0.997
Numer of labeled samples:15310   AUC:0.998
Numer of labeled samples:15331   AUC:0.997
Numer of labeled samples:15338   AUC:0.999
Numer of labeled samples:15326   AUC:0.997
Numer of labeled samples:15343   AUC:0.999
Numer of labeled samples:15324   AUC:0.998
Numer of labeled samples:15335   AUC:0.999
Numer of labeled samples:15324   AUC:0.997
Numer of labeled samples:15309   AUC:0.998
Numer of labeled samples:15294   AUC:0.997
Numer of labeled samples:15323   AUC:0.999
Numer of labeled samples:15292   AUC:0.998
Numer of labeled samples:15318   AUC:0.999
Numer of labeled samples:15292   AUC:0.996
Numer of labeled samples:15320   AUC:0.998
Numer of labeled samples:15307   AUC:0.998
Numer of labeled samples:15315   AUC:0.999
Numer of labeled samples:15315   AUC:0.998
Numer of labeled samples:15319   AUC:0.998
Numer of labeled samples:15299   AUC:0.998
Numer of labeled samples:15320   AUC:0.999
Numer of labeled samples:15304   AUC:0.998
Numer of labeled samples:15307   AUC:0.998
Numer of labeled samples:15317   AUC:0.999
Numer of labeled samples:15317   AUC:0.998
Numer of labeled samples:15308   AUC:0.999
Numer of labeled samples:15314   AUC:0.998
Numer of labeled samples:15320   AUC:0.998
Numer of labeled samples:15338   AUC:0.997
Numer of labeled samples:15326   AUC:0.997
Numer of labeled samples:15322   AUC:0.999
Numer of labeled samples:15329   AUC:0.997
Numer of labeled samples:15295   AUC:0.998
Numer of labeled samples:15336   AUC:0.997
Numer of labeled samples:15323   AUC:0.998
Numer of labeled samples:15344   AUC:0.994
Numer of labeled samples:15332   AUC:0.998
