Numer of labeled samples:14953   AUC:0.934
Numer of labeled samples:14580   AUC:0.935
Numer of labeled samples:14651   AUC:0.936
Numer of labeled samples:15815   AUC:0.931
Numer of labeled samples:14801   AUC:0.941
Numer of labeled samples:14215   AUC:0.943
Numer of labeled samples:13863   AUC:0.943
Numer of labeled samples:14677   AUC:0.944
Numer of labeled samples:14091   AUC:0.943
Numer of labeled samples:14961   AUC:0.942
Numer of labeled samples:14235   AUC:0.942
Numer of labeled samples:14044   AUC:0.944
Numer of labeled samples:14464   AUC:0.943
Numer of labeled samples:14196   AUC:0.948
Numer of labeled samples:13720   AUC:0.947
Numer of labeled samples:14194   AUC:0.938
Numer of labeled samples:14427   AUC:0.947
Numer of labeled samples:14512   AUC:0.945
Numer of labeled samples:14357   AUC:0.946
Numer of labeled samples:13792   AUC:0.950
Numer of labeled samples:14000   AUC:0.952
Numer of labeled samples:14226   AUC:0.947
Numer of labeled samples:13376   AUC:0.954
Numer of labeled samples:13757   AUC:0.955
Numer of labeled samples:14191   AUC:0.956
Numer of labeled samples:13023   AUC:0.953
Numer of labeled samples:13229   AUC:0.954
Numer of labeled samples:13892   AUC:0.951
Numer of labeled samples:13673   AUC:0.951
Numer of labeled samples:12712   AUC:0.951
Numer of labeled samples:13377   AUC:0.951
Numer of labeled samples:13689   AUC:0.951
Numer of labeled samples:13581   AUC:0.950
Numer of labeled samples:13641   AUC:0.950
Numer of labeled samples:13241   AUC:0.958
Numer of labeled samples:13900   AUC:0.952
Numer of labeled samples:13314   AUC:0.954
Numer of labeled samples:13223   AUC:0.956
Numer of labeled samples:13901   AUC:0.954
Numer of labeled samples:13759   AUC:0.948
Numer of labeled samples:12980   AUC:0.955
Numer of labeled samples:13304   AUC:0.952
Numer of labeled samples:13408   AUC:0.959
Numer of labeled samples:13113   AUC:0.958
Numer of labeled samples:12887   AUC:0.954
Numer of labeled samples:12683   AUC:0.960
Numer of labeled samples:13003   AUC:0.960
Numer of labeled samples:12536   AUC:0.960
Numer of labeled samples:12860   AUC:0.958
Numer of labeled samples:12388   AUC:0.957
Numer of labeled samples:12620   AUC:0.957
Numer of labeled samples:13874   AUC:0.956
Numer of labeled samples:13339   AUC:0.955
Numer of labeled samples:12498   AUC:0.958
Numer of labeled samples:12947   AUC:0.957
Numer of labeled samples:13004   AUC:0.957
Numer of labeled samples:12802   AUC:0.958
